,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",2225031,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"After Hours","The Weeknd",1159050,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
3,"Life Is Good (feat. Drake)",Future,1134066,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
4,"Intentions (feat. Quavo)","Justin Bieber",1094958,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
5,"Blinding Lights","The Weeknd",1075511,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,"Blueberry Faygo","Lil Mosey",1021220,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
7,ROXANNE,"Arizona Zervas",1003194,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
8,"High Fashion (feat. Mustard)","Roddy Ricch",896964,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
9,"Don't Start Now","Dua Lipa",830804,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,Falling,"Trevor Daniel",818526,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Circles,"Post Malone",813159,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,"Dance Monkey","Tones and I",771714,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Say So","Doja Cat",770982,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
14,BOP,DaBaby,714479,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
15,Suicidal,"YNW Melly",711985,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
16,"WHATS POPPIN","Jack Harlow",704130,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
17,"No Time To Die","Billie Eilish",700694,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
18,"everything i wanted","Billie Eilish",700266,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
19,"Godzilla (feat. Juice WRLD)",Eminem,685419,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
20,"Ballin' (with Roddy Ricch)",Mustard,671413,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
21,"Adore You","Harry Styles",629894,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
