,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,willow,"Taylor Swift",352836,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
55,Circles,"Post Malone",352470,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
56,Robbery,"Juice WRLD",351328,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
57,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",350710,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
58,"Bad Boy (with Young Thug)","Juice WRLD",350656,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
59,"Hot N*gga","Bobby Shmurda",347330,https://open.spotify.com/track/19gEmPjfqSZT0ulDRfjl0m
60,"Someone You Loved","Lewis Capaldi",344815,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,"Cry Baby (feat. DaBaby)","Megan Thee Stallion",343283,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
62,"Somebody’s Problem","Morgan Wallen",342237,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
63,"The Box","Roddy Ricch",333445,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
64,"Love Story (Taylor’s Version)","Taylor Swift",332311,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
65,"Daddy Issues","The Neighbourhood",330479,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
66,"CHICKEN TENDIES","Clinton Kane",327577,https://open.spotify.com/track/0awuNCj9gwJEM0seER22DW
67,"ROLLIN N CONTROLLIN FREESTYLE","DUSTY LOCANE",324579,https://open.spotify.com/track/1xqRKo0SDFDO5Jy8yEVD0X
68,"No Role Modelz","J. Cole",314510,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
69,"The Hills","The Weeknd",314373,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
70,"Drankin N Smokin",Future,312203,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
71,SugarCrash!,ElyOtto,309267,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
72,"Harder, Better, Faster, Stronger","Daft Punk",306306,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn
73,Hayloft,"Mother Mother",304293,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
74,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande",304046,https://open.spotify.com/track/2sQH02O2HBCPJCztBrCWNa
75,"The Business",Tiësto,300743,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
76,"Holy (feat. Chance The Rapper)","Justin Bieber",297049,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
77,"More Than My Hometown","Morgan Wallen",296585,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
78,"Life Is Good (feat. Drake)",Future,296427,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
79,"7 Summers","Morgan Wallen",296228,https://open.spotify.com/track/4obHzpwGrjoTuZh2DItEMZ
80,Dynamite,BTS,294446,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
81,"Electric Love",BØRNS,293950,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
82,"Watermelon Sugar","Harry Styles",293882,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
83,"Dreams - 2004 Remaster","Fleetwood Mac",293548,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
84,"Before You Go","Lewis Capaldi",292657,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
85,"SLOW DANCING IN THE DARK",Joji,291209,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
86,"Dead Man Walking","Brent Faiyaz",290985,https://open.spotify.com/track/5VlTQnZO89Ioku8ssdbqJk
87,HOLIDAY,"Lil Nas X",289635,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
88,"Jocelyn Flores",XXXTENTACION,289532,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
89,Starboy,"The Weeknd",288522,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
90,goosebumps,"Travis Scott",287391,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
91,"Whiskey Glasses","Morgan Wallen",285522,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
92,Arcade,"Duncan Laurence",284176,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
93,Runnin,"21 Savage",282281,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
94,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",281599,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
95,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,280620,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
96,"Put Your Records On","Ritt Momney",280085,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
97,Bandido,"Myke Towers",279456,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
98,"Prisoner (feat. Dua Lipa)","Miley Cyrus",278374,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
99,"Way Out (feat. Big Sean)","Jack Harlow",277102,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
100,"Cover Me Up","Morgan Wallen",276917,https://open.spotify.com/track/0mKnuxVkPi5h0kuvZl44VM
101,"death bed (coffee for your head)",Powfu,276277,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
102,"I Feel It Coming","The Weeknd",275862,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
103,"Adore You","Harry Styles",273641,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
104,Masterpiece,DaBaby,272981,https://open.spotify.com/track/26UxwWl9xCb83OynXELJcL
105,Dior,"Pop Smoke",272203,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
106,"hot girl bummer",blackbear,269808,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
107,"Are You Bored Yet? (feat. Clairo)",Wallows,268855,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
108,"Instant Crush (feat. Julian Casablancas)","Daft Punk",265004,https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6
109,"GO (feat. Juice WRLD)","The Kid LAROI",263708,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
110,"20 Min","Lil Uzi Vert",263439,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
111,"Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix","BRS Kash",261342,https://open.spotify.com/track/1qzckO538IWjqa7eCQdSJ4
112,"SO DONE","The Kid LAROI",258918,https://open.spotify.com/track/2gqWRRCXnma9L8xQ1RdemQ
113,"Better Together","Luke Combs",258676,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
114,Violent,carolesdaughter,257834,https://open.spotify.com/track/7CFfqRW50ffULvBv7lfIIg
115,Golden,"Harry Styles",257368,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
116,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",256965,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
117,"Gravity (feat. Tyler, The Creator)","Brent Faiyaz",255944,https://open.spotify.com/track/6u3CPnFMKANYgfdiifFOiJ
118,"Lonely (with benny blanco)","Justin Bieber",255618,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
119,"POPSTAR (feat. Drake)","DJ Khaled",255542,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
120,"Still Trappin' (with King Von)","Lil Durk",254122,https://open.spotify.com/track/43BlKpJcSrC9AsJ3F1DKg9
121,"Star Shopping","Lil Peep",253144,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
122,"You’re Mines Still (feat. Drake)","Yung Bleu",252958,https://open.spotify.com/track/7E2C5rBLpCKwQlhJPVFBRS
123,865,"Morgan Wallen",252625,https://open.spotify.com/track/0sKEilrw1GrBlG6qsTCrP4
124,"Godzilla (feat. Juice WRLD)",Eminem,252022,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
125,"Mood Swings (feat. Lil Tjay)","Pop Smoke",251826,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
126,"Mr. Brightside","The Killers",248436,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
127,"XO Tour Llif3","Lil Uzi Vert",247366,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
128,21,"Polo G",246588,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
129,"Why'd You Only Call Me When You're High?","Arctic Monkeys",246231,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
130,"Go Crazy","Chris Brown",246117,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
